hello,merhaba
goodbye,güle güle
thank you,teşekkür ederim
please,lütfen
yes,evet
no,hayır
cat,kedi
dog,köpek
apple,elma
water,su
bread,ekmek
friend,arkadaş
love,aşk
teacher,öğretmen
student,öğrenci
school,okul
car,araba
house,ev
book,kitap
pen,kalem
computer,bilgisayar
phone,telefon
music,müzik
coffee,kahve
milk,süt
sugar,şeker
sun,güneş
star,yıldız
flower,çiçek
tree,ağaç
sea,deniz
mountain,dağ
river,nehir
lake,göl
road,yol
city,şehir
village,köy
forest,orman
island,ada
bridge,köprü
window,pencere
door,kapı
chair,sandalye
table,masa
bed,yatak
kitchen,mutfak
bathroom,banyo
garden,bahçe
lamp,lamba
clock,saat
mirror,ayna
shirt,gömlek
pants,pantolon
shoes,ayakkabı
hat,şapka
glasses,gözlük
bag,çanta
key,anahtar
money,para
market,pazar
hospital,hastane
doctor,doktor
nurse,hemşire
medicine,ilaç
airport,havaalanı
train,tren
bus,otobüs
bicycle,bisiklet
ticket,bilet
map,harita
restaurant,restoran
hotel,otel
beach,plaj
park,park
game,oyun
toy,oyuncak
holiday,tatil
family,aile
mother,anne
father,baba
brother,erkek kardeş
sister,kız kardeş
child,çocuk
baby,bebek
happy,mutlu
sad,üzgün
hungry,aç
thirsty,susuz
hot,sıcak
cold,soğuk
big,büyük
small,küçük
fast,hızlı
slow,yavaş
beautiful,güzel
ugly,çirkin
clean,temiz
dirty,kirli
new,yeni
old,eski
strong,güçlü
weak,zayıf
